img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3867348,3438775",41.672132859383424,"150528,3867348,3438775",1,"360000,9249478,8224819",./data/images/DUTS_class/575/n03445924_3327.jpg,2,34
"150528,4762583,4987166",-26.225753444054316,"150528,4762583,4987166",0,"360000,11389621,11926708",./data/images/DUTS_class/21/ILSVRC2013_test_00003152.jpg,0,183
"150528,2771055,2372836",-3.1822743750430647,"150528,2771055,2372836",1,"360000,6626870,5674938",./data/images/DUTS_class/934/n07697537_22242.jpg,1,276
"150528,2839842,3014174",56.9045369516351,"150528,2839842,3014174",0,"345600,6518704,6918957",./data/images/DUTS_class/437/sun_aklnynhngbqvasvy.jpg,4,220
"150528,3415304,1084113",-53.423857043021385,"150528,3415304,1084113",0,"360000,8167054,2592723",./data/images/DUTS_class/951/ILSVRC2012_test_00056698.jpg,5,212
"150528,3390094,3422157",-60.89674458870435,"150528,3390094,3422157",0,"360000,8106725,8183481",./data/images/DUTS_class/147/n02066245_2828.jpg,6,104
"150528,2154468,2282221",80.05167448843099,"150528,2154468,2282221",0,"405600,5806054,6150125",./data/images/DUTS_class/817/n04285008_8216.jpg,3,216
"150528,3859572,3714936",-0.8329937071146531,"150528,3859572,3714936",1,"394800,10122244,9742429",./data/images/DUTS_class/151/ILSVRC2012_test_00000661.jpg,7,105
"301056,1972563,1637970",4.72926668022275,"301056,1972563,1637970",1,"720000,4716841,3917068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,34
"301056,4198009,2963230",16.58573472153965,"301056,4198009,2963230",1,"720000,10038775,7085887",./data/images/DUTS_class/21/ILSVRC2012_test_00050671.jpg,0,183
"301056,3686113,4211332",-88.73201221335115,"301056,3686113,4211332",0,"717600,8783663,10035098",./data/images/DUTS_class/437/sun_aqkdkqjtpkizuqeu.jpg,4,220
"301056,2958940,2365022",68.7202906721559,"301056,2958940,2365022",0,"720000,7075391,5655479",./data/images/DUTS_class/934/n07697537_20972.jpg,1,276
"301056,2706980,1551623",49.4240423233993,"301056,2706980,1551623",0,"720000,6472920,3710576",./data/images/DUTS_class/951/ILSVRC2012_test_00041158.jpg,5,212
"301056,2847742,2922520",-72.48911999389833,"301056,2847742,2922520",1,"640800,6060186,6219333",./data/images/DUTS_class/147/ILSVRC2014_train_00006847.jpg,6,104
"301056,3741075,3730018",35.37459169822357,"301056,3741075,3730018",0,"720000,8946595,8919767",./data/images/DUTS_class/817/sun_bhqfcatelqfnwpqv.jpg,3,216
"301056,3550103,1971007",-15.533629050144851,"301056,3550103,1971007",0,"720000,8489097,4713122",./data/images/DUTS_class/151/ILSVRC2012_test_00044209.jpg,7,105
"451584,2928532,2343488",51.70935558029896,"451584,2928532,2343488",0,"1080000,7003412,5604213",./data/images/DUTS_class/575/ILSVRC2013_test_00000934.jpg,2,34
"451584,4060307,5180852",-46.10701351261982,"451584,4060307,5180852",0,"961200,8639861,11024230",./data/images/DUTS_class/21/ILSVRC2013_test_00004947.jpg,0,183
"451584,1921734,1608672",86.99110456958272,"451584,1921734,1608672",0,"1080000,4594973,3846515",./data/images/DUTS_class/934/n07697537_32913.jpg,1,276
"451584,3307631,3571964",51.028096472852134,"451584,3307631,3571964",1,"1080000,7909243,8541658",./data/images/DUTS_class/437/sun_bjxznttjixzvrekx.jpg,4,220
