img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,4061078,2953814",10.213912733792183,"150528,4061078,2953814",1,"355200,9580835,6968622",./data/images/DUTS_class/575/ILSVRC2012_test_00042637.jpg,2,273
"150528,2306719,1874857",-2.0719600691629267,"150528,2306719,1874857",1,"360000,5515661,4482762",./data/images/DUTS_class/934/n07697537_5561.jpg,1,226
"150528,4762583,4987166",21.90909312335148,"150528,4762583,4987166",1,"360000,11389621,11926708",./data/images/DUTS_class/21/ILSVRC2013_test_00003152.jpg,0,186
"150528,3962622,1378471",45.83900029606785,"150528,3962622,1378471",1,"319200,8405240,2924518",./data/images/DUTS_class/951/n07749582_18533.jpg,5,21
"150528,2645523,2840429",7.0307123735855725,"150528,2645523,2840429",1,"321600,5652280,6068693",./data/images/DUTS_class/147/ILSVRC2012_test_00006634.jpg,6,257
"150528,2484681,1223237",-70.48678823840174,"150528,2484681,1223237",1,"331200,5468176,2692455",./data/images/DUTS_class/151/ILSVRC2013_test_00006296.jpg,7,64
"150528,2769392,2787458",45.10739971943576,"150528,2769392,2787458",1,"360000,6621742,6665138",./data/images/DUTS_class/817/ILSVRC2012_test_00057269.jpg,3,270
"150528,3251045,3296938",60.4075255691696,"150528,3251045,3296938",1,"320400,6917847,7015446",./data/images/DUTS_class/437/sun_axcbfwdeevusrsiy.jpg,4,1
"301056,2796807,971814",37.64791978044987,"301056,2796807,971814",1,"640800,5951141,2068726",./data/images/DUTS_class/951/ILSVRC2014_train_00033659.jpg,5,21
"301056,3693959,3093859",-50.24751352551072,"301056,3693959,3093859",1,"720000,8832656,7397743",./data/images/DUTS_class/934/n07697537_16460.jpg,1,226
"301056,3790589,3762964",78.12183127811397,"301056,3790589,3762964",0,"720000,9064430,8998534",./data/images/DUTS_class/575/n03445924_16351.jpg,2,273
"301056,2577580,3249324",-76.28842486145349,"301056,2577580,3249324",1,"607200,5198855,6553634",./data/images/DUTS_class/147/n02066245_22940.jpg,6,257
"301056,2129668,2002876",-65.56237715461657,"301056,2129668,2002876",1,"720000,5092196,4789293",./data/images/DUTS_class/817/n04285008_810.jpg,3,270
"301056,5208209,4137575",-77.93133615317207,"301056,5208209,4137575",0,"933600,16151840,12831443",./data/images/DUTS_class/21/ILSVRC2012_test_00008011.jpg,0,186
"451584,3974135,3186183",60.010694962390794,"451584,3974135,3186183",1,"1108800,9756726,7822293",./data/images/DUTS_class/951/ILSVRC2014_train_00036081.jpg,5,21
"301056,4173794,4023753",-21.091315892714434,"301056,4173794,4023753",1,"912000,12643733,12189298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,64
"301056,3352768,3600218",-48.87803436756134,"301056,3352768,3600218",1,"720000,8017294,8608254",./data/images/DUTS_class/437/sun_adxcbxnjvycdxajj.jpg,4,1
"602112,3777202,3214432",37.229342057393474,"602112,3777202,3214432",0,"1286400,8069529,6867074",./data/images/DUTS_class/951/ILSVRC2012_val_00035888.jpg,5,21
"451584,2876345,1866304",14.303078390730164,"451584,2876345,1866304",1,"907200,5775268,3747176",./data/images/DUTS_class/934/n07697537_29617.jpg,1,226
"451584,4369503,4562186",4.311685971028909,"451584,4369503,4562186",0,"1080000,10449739,10910381",./data/images/DUTS_class/575/n03445924_13316.jpg,2,273
"451584,2500686,3931482",88.7442832716583,"451584,2500686,3931482",1,"961200,5320407,8365116",./data/images/DUTS_class/147/ILSVRC2012_test_00029090.jpg,6,257
"451584,4888548,5286678",-38.34391190852747,"451584,4888548,5286678",0,"961200,10403784,11250948",./data/images/DUTS_class/21/ILSVRC2013_test_00000987.jpg,0,186
"451584,2405491,2451163",-65.6058131674165,"451584,2405491,2451163",1,"1080000,5752787,5862041",./data/images/DUTS_class/817/n04285008_783.jpg,3,270
"451584,2202968,1900620",89.53963098625185,"451584,2202968,1900620",0,"1080000,5268046,4544803",./data/images/DUTS_class/151/ILSVRC2012_test_00022362.jpg,7,64
"752640,2891831,1071971",-73.6054545924413,"752640,2891831,1071971",0,"1800000,6915084,2563559",./data/images/DUTS_class/951/ILSVRC2012_test_00043095.jpg,5,21
