img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3291160,3228151",-50.11685876708157,"150528,3291160,3228151",0,"360000,7870037,7719522",./data/images/DUTS_class/817/ILSVRC2014_train_00051997.jpg,3,215
"150528,3857198,4241238",53.37346769664803,"150528,3857198,4241238",1,"410400,10516779,11563609",./data/images/DUTS_class/21/ILSVRC2012_val_00045746.jpg,0,167
"150528,3666416,3535468",-63.39946060950241,"150528,3666416,3535468",0,"360000,8766973,8454090",./data/images/DUTS_class/575/n03445924_5295.jpg,2,287
"150528,3169404,1242727",68.16501860822495,"150528,3169404,1242727",1,"360000,7578695,2971743",./data/images/DUTS_class/951/ILSVRC2014_train_00038414.jpg,5,9
"150528,3859572,3714936",78.30617364307237,"150528,3859572,3714936",1,"394800,10122244,9742429",./data/images/DUTS_class/151/ILSVRC2012_test_00000661.jpg,7,287
"150528,3056117,2360316",11.984136234291938,"150528,3056117,2360316",0,"321600,6528439,5042395",./data/images/DUTS_class/934/n07697537_15116.jpg,1,228
"150528,3390094,3422157",71.10304544732554,"150528,3390094,3422157",1,"360000,8106725,8183481",./data/images/DUTS_class/147/n02066245_2828.jpg,6,151
"150528,3605036,2892644",-40.57128475669634,"150528,3605036,2892644",1,"332400,7959695,6386744",./data/images/DUTS_class/437/sun_ajebiurepzdzjwvw.jpg,4,66
"301056,3326142,3629328",20.621709172819212,"301056,3326142,3629328",0,"667200,7370159,8041707",./data/images/DUTS_class/21/ILSVRC2013_test_00005368.jpg,0,167
"301056,3957061,1918259",-69.62509376429358,"301056,3957061,1918259",1,"720000,9462339,4587168",./data/images/DUTS_class/951/ILSVRC2012_val_00039834.jpg,5,9
"301056,3532168,3387105",53.23572714963507,"301056,3532168,3387105",1,"720000,8447057,8100227",./data/images/DUTS_class/151/ILSVRC2012_test_00057159.jpg,7,287
"301056,3252323,3923016",23.247473457822753,"301056,3252323,3923016",0,"703200,7597018,9163674",./data/images/DUTS_class/147/n02066245_14915.jpg,6,151
