img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,2752241,2764154",63.005776407757985,"150528,2752241,2764154",1,"316800,5791728,5816647",./data/images/DUTS_class/817/n04285008_5063.jpg,3,184
"150528,2718865,2430321",-36.37661459558504,"150528,2718865,2430321",1,"321600,5808519,5192416",./data/images/DUTS_class/934/n07697537_25476.jpg,1,68
"150528,3194281,2226225",-58.907048055494464,"150528,3194281,2226225",1,"320400,6797222,4736821",./data/images/DUTS_class/575/ILSVRC2014_train_00030434.jpg,2,79
"150528,2484681,1223237",-26.921346477986106,"150528,2484681,1223237",1,"331200,5468176,2692455",./data/images/DUTS_class/151/ILSVRC2013_test_00006296.jpg,7,40
"150528,3598321,4123528",-10.875756824719076,"150528,3598321,4123528",1,"358800,8574363,9825798",./data/images/DUTS_class/437/sun_aqkdkqjtpkizuqeu.jpg,4,278
"150528,4473154,4583209",-62.48481174194903,"150528,4473154,4583209",0,"360000,10695912,10959239",./data/images/DUTS_class/21/ILSVRC2012_test_00008230.jpg,0,4
"150528,2438749,3110493",-59.3086960901641,"150528,2438749,3110493",1,"303600,4918855,6273634",./data/images/DUTS_class/147/n02066245_22940.jpg,6,247
"150528,3149543,1887442",-66.34779651283203,"150528,3149543,1887442",1,"418800,8763977,5251692",./data/images/DUTS_class/951/n07749582_5059.jpg,5,201
"301056,2138889,2124244",-7.734862961674893,"301056,2138889,2124244",0,"640800,4550620,4519586",./data/images/DUTS_class/817/n04285008_5924.jpg,3,184
"301056,2587756,2592849",-83.41956160929102,"301056,2587756,2592849",1,"643200,5528549,5539428",./data/images/DUTS_class/575/ILSVRC2012_test_00055689.jpg,2,79
"301056,1935334,598754",-25.00951595771916,"301056,1935334,598754",0,"722400,4644485,1437091",./data/images/DUTS_class/934/n07697537_28798.jpg,1,68
"301056,3601606,3038836",65.91220990919109,"301056,3601606,3038836",0,"643200,7694329,6491874",./data/images/DUTS_class/951/ILSVRC2012_val_00035888.jpg,5,201
"301056,2413705,2073156",43.483101268812725,"301056,2413705,2073156",1,"720000,5771359,4956693",./data/images/DUTS_class/437/sun_ablfqiwfqomjarht.jpg,4,278
"301056,3629251,3554725",89.95055421702398,"301056,3629251,3554725",1,"643200,7753050,7593911",./data/images/DUTS_class/147/ILSVRC2012_val_00037913.jpg,6,247
"301056,4850374,5074977",-57.16246784107694,"301056,4850374,5074977",1,"720000,11599621,12136708",./data/images/DUTS_class/21/ILSVRC2013_test_00003152.jpg,0,4
"301056,4173794,4023753",48.90208640159553,"301056,4173794,4023753",1,"912000,12643733,12189298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,40
"451584,3466782,3403763",77.8781350910427,"451584,3466782,3403763",0,"1080000,8290037,8139522",./data/images/DUTS_class/817/ILSVRC2014_train_00051997.jpg,3,184
"451584,2928532,2343488",-49.28888185610219,"451584,2928532,2343488",1,"1080000,7003412,5604213",./data/images/DUTS_class/575/ILSVRC2013_test_00000934.jpg,2,79
"451584,2884618,1059622",-2.091586516917957,"451584,2884618,1059622",0,"961200,6138041,2255626",./data/images/DUTS_class/951/ILSVRC2014_train_00033659.jpg,5,201
"451584,2986053,3157654",-27.894210526704512,"451584,2986053,3157654",1,"1080000,7140998,7550958",./data/images/DUTS_class/437/sun_atxxqdvxgcbqyvak.jpg,4,278
"451584,4259733,3481199",18.06601586061348,"451584,4259733,3481199",1,"1382400,13038335,10655277",./data/images/DUTS_class/934/n07697537_7732.jpg,1,68
"451584,3624184,3656250",-34.27642956585082,"451584,3624184,3656250",0,"1080000,8666725,8743481",./data/images/DUTS_class/147/n02066245_2828.jpg,6,247
"451584,3669126,2511008",69.90356223801946,"451584,3669126,2511008",0,"1303200,10586818,7245251",./data/images/DUTS_class/21/ILSVRC2012_test_00050408.jpg,0,4
