img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3798091,5129705",83.55715051138108,"150528,3798091,5129705",0,"384000,9688692,13085558",./data/images/DUTS_class/21/ILSVRC2012_test_00045933.jpg,0,271
"150528,2455242,2060844",42.67655854171422,"150528,2455242,2060844",0,"360000,5870701,4927297",./data/images/DUTS_class/151/ILSVRC2012_test_00069103.jpg,7,98
"150528,3101069,2303733",-50.84961494252387,"150528,3101069,2303733",1,"350400,7218211,5362572",./data/images/DUTS_class/817/n04285008_3104.jpg,3,270
"150528,3285413,3604173",-57.7178655852427,"150528,3285413,3604173",0,"360000,7855974,8618304",./data/images/DUTS_class/147/n02066245_2216.jpg,6,141
"150528,3271046,1962522",50.97124013038235,"150528,3271046,1962522",1,"360000,7822170,4693319",./data/images/DUTS_class/934/n07697537_46073.jpg,1,234
"150528,3702861,3675238",-15.604448098431295,"150528,3702861,3675238",1,"360000,8854430,8788534",./data/images/DUTS_class/575/n03445924_16351.jpg,2,56
"301056,4265017,4136884",-19.757863042203926,"301056,4265017,4136884",1,"866400,12271281,11902901",./data/images/DUTS_class/21/ILSVRC2012_test_00049543.jpg,0,271
"150528,3461948,4080168",-25.07803085575841,"150528,3461948,4080168",1,"339600,7811902,9206217",./data/images/DUTS_class/437/sun_aqpphhufllwhjato.jpg,4,151
"150528,3869249,1830442",-58.94517183601546,"150528,3869249,1830442",0,"360000,9252339,4377168",./data/images/DUTS_class/951/ILSVRC2012_val_00039834.jpg,5,239
"301056,3561413,3341978",-6.89357410707332,"301056,3561413,3341978",0,"960000,11356562,10657037",./data/images/DUTS_class/151/ILSVRC2012_test_00070582.jpg,7,98
"451584,2716896,3482110",2.8325824388611665,"451584,2716896,3482110",0,"1080000,6496271,8326098",./data/images/DUTS_class/21/ILSVRC2012_test_00021934.jpg,0,271
"301056,4205835,4237401",-41.60830413030497,"301056,4205835,4237401",1,"640800,8951506,9018664",./data/images/DUTS_class/147/ILSVRC2012_test_00003017.jpg,6,141
"301056,2890340,3107307",-79.11952505525859,"301056,2890340,3107307",1,"643200,6174246,6638091",./data/images/DUTS_class/817/n04285008_5440.jpg,3,270
"301056,2628820,2157490",3.068638715209701,"301056,2628820,2157490",0,"638400,5575823,4576094",./data/images/DUTS_class/934/n07697537_16855.jpg,1,234
"301056,4281681,4474388",21.975050854982356,"301056,4281681,4474388",0,"720000,10239739,10700381",./data/images/DUTS_class/575/n03445924_13316.jpg,2,56
"602112,4373640,3138842",-9.768057148599992,"602112,4373640,3138842",0,"1440000,10458775,7505887",./data/images/DUTS_class/21/ILSVRC2012_test_00050671.jpg,0,271
"301056,2917292,3158224",-62.51067613239872,"301056,2917292,3158224",0,"631200,6123709,6629097",./data/images/DUTS_class/437/sun_arlikgkzcfsfgohp.jpg,4,151
"301056,2796807,971814",-72.40593535764046,"301056,2796807,971814",0,"640800,5951141,2068726",./data/images/DUTS_class/951/ILSVRC2014_train_00033659.jpg,5,239
"451584,4266185,4116131",-32.82926792376122,"451584,4266185,4116131",1,"1368000,12923733,12469298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,98
"451584,2935550,3010307",-32.86179228640813,"451584,2935550,3010307",0,"961200,6247086,6406233",./data/images/DUTS_class/147/ILSVRC2014_train_00006847.jpg,6,141
"451584,4111874,4065896",87.01948546989456,"451584,4111874,4065896",1,"961200,8749746,8651895",./data/images/DUTS_class/817/n04285008_2460.jpg,3,270
