img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3290973,3284791",30.248258126256967,"150528,3290973,3284791",1,"320400,7002564,6989339",./data/images/DUTS_class/147/ILSVRC2012_test_00006733.jpg,6,119
"150528,2718865,2430321",-74.77746874331879,"150528,2718865,2430321",0,"321600,5808519,5192416",./data/images/DUTS_class/934/n07697537_25476.jpg,1,289
"150528,3251045,3296938",-7.020963029815732,"150528,3251045,3296938",0,"320400,6917847,7015446",./data/images/DUTS_class/437/sun_axcbfwdeevusrsiy.jpg,4,166
"150528,3194281,2226225",1.0027440691561649,"150528,3194281,2226225",1,"320400,6797222,4736821",./data/images/DUTS_class/575/ILSVRC2014_train_00030434.jpg,2,162
"150528,2763619,2433603",23.839477211856646,"150528,2763619,2433603",0,"388800,7139630,6286791",./data/images/DUTS_class/21/ILSVRC2012_test_00006511.jpg,0,68
"150528,3444361,3299300",73.16683968155469,"150528,3444361,3299300",0,"360000,8237057,7890227",./data/images/DUTS_class/151/ILSVRC2012_test_00057159.jpg,7,86
"301056,3019333,3807332",63.994046579429295,"301056,3019333,3807332",1,"720000,7219792,9104119",./data/images/DUTS_class/147/n02066245_12249.jpg,6,119
"150528,2350870,2334382",85.68938609341062,"150528,2350870,2334382",1,"360000,5620909,5581611",./data/images/DUTS_class/817/n04285008_5418.jpg,3,55
"150528,3869249,1830442",-60.837482922833566,"150528,3869249,1830442",0,"360000,9252339,4377168",./data/images/DUTS_class/951/ILSVRC2012_val_00039834.jpg,5,118
"451584,3242613,3361007",22.41077382292984,"451584,3242613,3361007",1,"1152000,8269137,8571341",./data/images/DUTS_class/147/ILSVRC2012_test_00030633.jpg,6,119
"301056,3721441,2781704",55.70300841563271,"301056,3721441,2781704",1,"720000,8898339,6651358",./data/images/DUTS_class/934/n07697537_31178.jpg,1,289
"301056,2624622,3093683",65.4147777083339,"301056,2624622,3093683",0,"724800,6320045,7449380",./data/images/DUTS_class/437/sun_azkldzgleoexgums.jpg,4,166
"301056,4434654,4939738",79.53147973409861,"301056,4434654,4939738",0,"720000,10604287,11812173",./data/images/DUTS_class/21/ILSVRC2012_test_00045766.jpg,0,68
"301056,1972563,1637970",77.12284359437487,"301056,1972563,1637970",0,"720000,4716841,3917068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,162
"301056,2543053,2148659",-12.104942499456302,"301056,2543053,2148659",1,"720000,6080701,5137297",./data/images/DUTS_class/151/ILSVRC2012_test_00069103.jpg,7,86
"602112,5676814,6178316",-46.38275684240978,"602112,5676814,6178316",0,"1440000,13576675,14774956",./data/images/DUTS_class/147/ILSVRC2012_test_00011099.jpg,6,119
"301056,2305633,1290960",-46.707935072517174,"301056,2305633,1290960",1,"638400,4888912,2736498",./data/images/DUTS_class/817/n04285008_8974.jpg,3,55
"301056,2463153,1486962",-60.97009906863406,"301056,2463153,1486962",0,"720000,5890721,3556169",./data/images/DUTS_class/951/ILSVRC2012_test_00066396.jpg,5,118
"451584,2908547,2409428",-29.11128327565908,"451584,2908547,2409428",1,"1080000,6955706,5762242",./data/images/DUTS_class/934/n07697537_15088.jpg,1,289
"451584,3083641,3257970",61.84784656000244,"451584,3083641,3257970",1,"1036800,7078704,7478957",./data/images/DUTS_class/437/sun_aklnynhngbqvasvy.jpg,4,166
"752640,3761306,5120037",55.00461235630959,"752640,3761306,5120037",0,"1800000,8994374,12243771",./data/images/DUTS_class/147/ILSVRC2012_test_00057757.jpg,6,119
"451584,3096318,3093395",-72.76516864298601,"451584,3096318,3093395",1,"882000,6047343,6041538",./data/images/DUTS_class/21/sun_bfgyyjqrotuxyaxm.jpg,0,68
"451584,2588473,1362201",1.7194065234059934,"451584,2588473,1362201",0,"1080000,6189565,3257449",./data/images/DUTS_class/575/n03445924_9266.jpg,2,162
"451584,2198503,1788012",79.62155505927015,"451584,2198503,1788012",1,"961200,4678870,3805492",./data/images/DUTS_class/817/n04285008_15065.jpg,3,55
"451584,4266185,4116131",-14.009178130896599,"451584,4266185,4116131",0,"1368000,12923733,12469298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,86
"451584,3469688,2592333",87.057127869302,"451584,3469688,2592333",1,"1029600,7913047,5912160",./data/images/DUTS_class/951/ILSVRC2012_test_00051117.jpg,5,118
"602112,4281978,4171518",-25.80478891022996,"602112,4281978,4171518",0,"1276800,9083101,8848827",./data/images/DUTS_class/437/sun_agixkwgtzwjasnie.jpg,4,166
"903168,3603552,4274254",-29.307281764722546,"903168,3603552,4274254",1,"2109600,8417418,9984074",./data/images/DUTS_class/147/n02066245_14915.jpg,6,119
"602112,3185674,2903688",13.327705437314165,"602112,3185674,2903688",1,"1440000,7617402,6943288",./data/images/DUTS_class/934/n07697537_1002.jpg,1,289
"602112,3927108,3842417",-18.99549886595986,"602112,3927108,3842417",0,"1536000,10016533,9800649",./data/images/DUTS_class/21/ILSVRC2012_test_00043552.jpg,0,68
"602112,4324437,3217174",-1.394462504807635,"602112,4324437,3217174",1,"1420800,10202435,7590222",./data/images/DUTS_class/575/ILSVRC2012_test_00042637.jpg,2,162
"602112,2243759,1263688",51.2341375765813,"602112,2243759,1263688",0,"1440000,5365115,3021232",./data/images/DUTS_class/817/n04285008_3729.jpg,3,55
"602112,2748192,1486758",89.20517141764655,"602112,2748192,1486758",0,"1324800,6047776,3272055",./data/images/DUTS_class/151/ILSVRC2013_test_00006296.jpg,7,86
"1053696,3172364,3367265",83.18121052703732,"1053696,3172364,3367265",1,"2251200,6777880,7194293",./data/images/DUTS_class/147/ILSVRC2012_test_00006634.jpg,6,119
"602112,3035877,1679717",-43.836823061702134,"602112,3035877,1679717",1,"1440000,7259907,4016806",./data/images/DUTS_class/951/ILSVRC2012_test_00007922.jpg,5,118
"752640,2597676,2680408",-53.415999894208746,"752640,2597676,2680408",0,"1800000,6212440,6410327",./data/images/DUTS_class/437/sun_aahiydfvmdrrpyru.jpg,4,166
"752640,3222282,2628387",-14.367172775462382,"752640,3222282,2628387",1,"1800000,7705391,6285479",./data/images/DUTS_class/934/n07697537_20972.jpg,1,289
"1204224,3374581,3449368",82.33289209756273,"1204224,3374581,3449368",0,"2563200,7181586,7340733",./data/images/DUTS_class/147/ILSVRC2014_train_00006847.jpg,6,119
"752640,4465965,4413685",-8.463653953930532,"752640,4465965,4413685",0,"2004000,11892001,11752579",./data/images/DUTS_class/21/ILSVRC2012_test_00088022.jpg,0,68
"752640,3151975,3124052",57.06219575229421,"752640,3151975,3124052",0,"1566000,6554803,6496703",./data/images/DUTS_class/817/n04285008_3095.jpg,3,55
"752640,4017573,3886611",74.49672752631855,"752640,4017573,3886611",1,"1800000,9606973,9294090",./data/images/DUTS_class/575/n03445924_5295.jpg,2,162
"752640,2437063,2134707",70.36037566987653,"752640,2437063,2134707",1,"1800000,5828046,5104803",./data/images/DUTS_class/151/ILSVRC2012_test_00022362.jpg,7,86
"752640,3883478,1552294",-87.04994176420763,"752640,3883478,1552294",1,"1800000,9287054,3712723",./data/images/DUTS_class/951/ILSVRC2012_test_00056698.jpg,5,118
"903168,3827051,2680781",59.581078477533644,"903168,3827051,2680781",0,"1915200,8117234,5685845",./data/images/DUTS_class/437/sun_aofommnoxgypyfcl.jpg,4,166
"903168,4585545,4124940",67.03084416331114,"903168,4585545,4124940",0,"2160000,10966168,9864972",./data/images/DUTS_class/934/ILSVRC2012_test_00085179.jpg,1,289
"1354752,3027518,4458326",-45.51709744383813,"1354752,3027518,4458326",0,"2883600,6441807,9486516",./data/images/DUTS_class/147/ILSVRC2012_test_00029090.jpg,6,119
"903168,4441892,4525945",-53.304928610238974,"903168,4441892,4525945",1,"2160000,10621606,10822608",./data/images/DUTS_class/21/sun_azpdgqebfmxrctfd.jpg,0,68
"903168,2570307,2614315",0.4571951638120311,"903168,2570307,2614315",0,"2160000,6145778,6251055",./data/images/DUTS_class/817/n04285008_8668.jpg,3,55
"1053696,4015783,3674818",-51.914260167448475,"1053696,4015783,3674818",1,"2520000,9601995,8786533",./data/images/DUTS_class/437/sun_amwnqpoecflqnumf.jpg,4,166
"903168,4141810,4114190",-14.538336344701891,"903168,4141810,4114190",1,"2160000,9904430,9838534",./data/images/DUTS_class/575/n03445924_16351.jpg,2,162
"903168,3575179,3099150",83.5476461242737,"903168,3575179,3099150",1,"1922400,7608352,6595554",./data/images/DUTS_class/151/n02085620_3514.jpg,7,86
"903168,4237631,3449677",44.30333164312927,"903168,4237631,3449677",0,"2217600,10403526,8469093",./data/images/DUTS_class/951/ILSVRC2014_train_00036081.jpg,5,118
"1053696,3539405,3213369",-54.05808852972805,"1053696,3539405,3213369",0,"1848000,6207258,5635536",./data/images/DUTS_class/934/n07697537_15856.jpg,1,289
"1505280,3934096,4275203",-0.8376406268223775,"1505280,3934096,4275203",1,"3564000,9313071,10120671",./data/images/DUTS_class/147/ILSVRC2012_test_00069846.jpg,6,119
"1053696,4704035,4575919",-87.52806247792304,"1053696,4704035,4575919",1,"3032400,13534781,13166401",./data/images/DUTS_class/21/ILSVRC2012_test_00049543.jpg,0,68
"1053696,2874602,2777033",1.101606540735915,"1053696,2874602,2777033",0,"2520000,6873225,6640504",./data/images/DUTS_class/817/n04285008_749.jpg,3,55
"1204224,2633400,3086304",-11.21632066332981,"1204224,2633400,3086304",0,"3072000,6715149,7870422",./data/images/DUTS_class/437/sun_armpcnxnhbxckmoh.jpg,4,166
"1053696,3146020,1990656",60.60623415264547,"1053696,3146020,1990656",1,"2520000,7522920,4760576",./data/images/DUTS_class/951/ILSVRC2012_test_00041158.jpg,5,118
"1053696,4394125,3965552",-58.19616871204715,"1053696,4394125,3965552",1,"2520000,10509478,9484819",./data/images/DUTS_class/575/n03445924_3327.jpg,2,162
"1053696,4386419,4241783",-63.94767394521282,"1053696,4386419,4241783",1,"2763600,11504044,11124229",./data/images/DUTS_class/151/ILSVRC2012_test_00000661.jpg,7,86
"1655808,4419518,4344997",25.733388886935053,"1655808,4419518,4344997",0,"3537600,9441450,9282311",./data/images/DUTS_class/147/ILSVRC2012_val_00037913.jpg,6,119
"1204224,4968559,3868032",-61.30330492184544,"1204224,4968559,3868032",1,"2880000,11881587,9250172",./data/images/DUTS_class/934/n07697537_13676.jpg,1,289
"1354752,3799072,3255009",47.63743278209827,"1354752,3799072,3255009",1,"2980800,8359220,7162469",./data/images/DUTS_class/437/sun_aowjnjbemneergzl.jpg,4,166
"1204224,3417290,3634251",14.944738049176236,"1204224,3417290,3634251",1,"2572800,7299846,7763691",./data/images/DUTS_class/817/n04285008_5440.jpg,3,55
"1204224,2028524,1755587",78.20283600517456,"1204224,2028524,1755587",0,"2880000,4850927,4198760",./data/images/DUTS_class/21/ILSVRC2013_test_00004786.jpg,0,68
"1204224,3275619,1742799",-80.00726035989206,"1204224,3275619,1742799",0,"2572800,6998272,3723971",./data/images/DUTS_class/951/ILSVRC2012_test_00043804.jpg,5,118
"1806336,3965770,4637521",-7.58495311341983,"1806336,3965770,4637521",0,"3643200,7998855,9353634",./data/images/DUTS_class/147/n02066245_22940.jpg,6,119
"1204224,3367582,2782533",47.985835773605636,"1204224,3367582,2782533",1,"2880000,8053412,6654213",./data/images/DUTS_class/575/ILSVRC2013_test_00000934.jpg,2,162
"1204224,4614621,4555036",24.65550942300817,"1204224,4614621,4555036",0,"3264000,12506349,12344914",./data/images/DUTS_class/151/ILSVRC2012_test_00082351.jpg,7,86
"1354752,3451562,3268620",-10.67587158680182,"1354752,3451562,3268620",1,"3240000,8253516,7816113",./data/images/DUTS_class/934/n07697537_15450.jpg,1,289
"1505280,3600710,3772307",-32.62467995774597,"1505280,3600710,3772307",0,"3600000,8610998,9020958",./data/images/DUTS_class/437/sun_atxxqdvxgcbqyvak.jpg,4,166
"1354752,3593201,4280328",-41.53579882780706,"1354752,3593201,4280328",1,"2883600,7646217,9108048",./data/images/DUTS_class/817/n02958343_427.jpg,3,55
"1354752,3568088,1529454",30.23900612514309,"1354752,3568088,1529454",0,"3240000,8531871,3657493",./data/images/DUTS_class/951/n07749582_15763.jpg,5,118
"1354752,4008008,3806762",28.637083950326467,"1354752,4008008,3806762",1,"3499200,10353105,9833061",./data/images/DUTS_class/21/ILSVRC2012_test_00070956.jpg,0,68
"1956864,5653535,4197115",78.10792551366652,"1956864,5653535,4197115",1,"6052800,17486194,12981336",./data/images/DUTS_class/63/ILSVRC2012_test_00035820.jpg,6,119
"1354752,3811348,3605720",22.531439817287875,"1354752,3811348,3605720",0,"3240000,9115703,8624004",./data/images/DUTS_class/575/ILSVRC2012_test_00038354.jpg,2,162
"1354752,4164761,2585660",52.11389195893229,"1354752,4164761,2585660",1,"3240000,9959097,6183122",./data/images/DUTS_class/151/ILSVRC2012_test_00044209.jpg,7,86
"1505280,3035730,2563963",-35.43692874270198,"1505280,3035730,2563963",1,"3600000,7259392,6131504",./data/images/DUTS_class/934/n07697537_574.jpg,1,289
"1655808,4119695,4360629",-30.760436461518747,"1655808,4119695,4360629",0,"3471600,8643709,9149097",./data/images/DUTS_class/437/sun_arlikgkzcfsfgohp.jpg,4,166
"1505280,3617396,3722496",-87.8768899004608,"1505280,3617396,3722496",0,"2916000,7008452,7212045",./data/images/DUTS_class/817/n04285008_2280.jpg,3,55
"1505280,3959670,2033000",-65.27004202527917,"1505280,3959670,2033000",1,"3600000,9468695,4861743",./data/images/DUTS_class/951/ILSVRC2014_train_00038414.jpg,5,118
"2107392,4240354,3803340",-87.11909915318972,"2107392,4240354,3803340",1,"5040000,10140540,9095205",./data/images/DUTS_class/63/ILSVRC2012_test_00079494.jpg,6,119
"1505280,3290220,3295313",8.007239171105297,"1505280,3290220,3295313",1,"3216000,7029349,7040228",./data/images/DUTS_class/575/ILSVRC2012_test_00055689.jpg,2,162
"1505280,4900473,3665694",-83.83910128886114,"1505280,4900473,3665694",1,"3600000,11718775,8765887",./data/images/DUTS_class/21/ILSVRC2012_test_00050671.jpg,0,68
"1505280,3857392,3625055",-39.35239125142295,"1505280,3857392,3625055",1,"3288000,8424176,7916630",./data/images/DUTS_class/151/ILSVRC2012_test_00068219.jpg,7,86
"1655808,3119167,1269011",79.94426195033256,"1655808,3119167,1269011",0,"3960000,7458720,3035364",./data/images/DUTS_class/934/n07697537_29020.jpg,1,289
"1806336,4564201,5089413",64.60667584287154,"1806336,4564201,5089413",0,"4305600,10876663,12128098",./data/images/DUTS_class/437/sun_aqkdkqjtpkizuqeu.jpg,4,166
"1655808,3479434,3585902",63.63621344399058,"1655808,3479434,3585902",1,"4158000,8738867,9006309",./data/images/DUTS_class/817/ILSVRC2012_test_00074954.jpg,3,55
"2257920,3741734,3106487",42.878127262414814,"2257920,3741734,3106487",1,"4824000,7993725,6636695",./data/images/DUTS_class/63/ILSVRC2012_test_00089997.jpg,6,119
"1655808,4849131,3516091",-14.018006183700775,"1655808,4849131,3516091",0,"3511200,10284358,7457221",./data/images/DUTS_class/186/ILSVRC2012_test_00001911.jpg,5,118
