img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,2229870,2275530",31.437715993880357,"150528,2229870,2275530",0,"360000,5332787,5442041",./data/images/DUTS_class/817/n04285008_783.jpg,3,52
"150528,4277050,3570695",-73.48075451211685,"150528,4277050,3570695",1,"260400,7398978,6176860",./data/images/DUTS_class/934/n07697537_9001.jpg,1,190
"150528,2541594,1332045",-81.53931700495319,"150528,2541594,1332045",1,"360000,6077384,3185269",./data/images/DUTS_class/21/ILSVRC2012_test_00020807.jpg,0,107
"150528,1127953,1450728",-49.66753222344858,"150528,1127953,1450728",1,"360000,2697014,3468952",./data/images/DUTS_class/437/sun_ahkedzcpojysdycn.jpg,4,261
"150528,3294085,2416707",63.32118942395997,"150528,3294085,2416707",0,"343200,7512647,5511760",./data/images/DUTS_class/951/ILSVRC2012_test_00051117.jpg,5,35
"150528,3867348,3438775",-49.0944111428127,"150528,3867348,3438775",1,"360000,9249478,8224819",./data/images/DUTS_class/575/n03445924_3327.jpg,2,278
"150528,2793292,3015160",-13.688383093333698,"150528,2793292,3015160",1,"320400,5943518,6415740",./data/images/DUTS_class/147/ILSVRC2012_test_00053990.jpg,6,267
"301056,4010472,3947500",29.215682429251398,"301056,4010472,3947500",1,"720000,9590426,9439698",./data/images/DUTS_class/817/n04285008_9860.jpg,3,52
"150528,3444361,3299300",-38.07685019081182,"150528,3444361,3299300",0,"360000,8237057,7890227",./data/images/DUTS_class/151/ILSVRC2012_test_00057159.jpg,7,195
"451584,2601105,3663993",-32.716535992577356,"451584,2601105,3663993",0,"961200,5534747,7796967",./data/images/DUTS_class/817/n04285008_7323.jpg,3,52
"301056,3368402,3303109",-70.41703890979309,"301056,3368402,3303109",0,"640800,7168355,7029641",./data/images/DUTS_class/21/ILSVRC2013_test_00007500.jpg,0,107
"301056,3654591,3696825",73.9078229559139,"301056,3654591,3696825",1,"720000,8739394,8840330",./data/images/DUTS_class/575/ILSVRC2012_test_00063360.jpg,2,278
"301056,866714,1165316",1.205586178030174,"301056,866714,1165316",1,"638400,1839061,2472124",./data/images/DUTS_class/437/sun_aylrpskjjozeogen.jpg,4,261
"301056,3071514,2280035",-25.322342565395022,"301056,3071514,2280035",0,"720000,7344345,5451797",./data/images/DUTS_class/934/n07697537_20962.jpg,1,190
"301056,1847523,1093086",43.839045479172256,"301056,1847523,1093086",0,"643200,3946640,2334897",./data/images/DUTS_class/951/ILSVRC2012_val_00030225.jpg,5,35
"301056,2733348,2928228",36.466616541943615,"301056,2733348,2928228",0,"643200,5839880,6256293",./data/images/DUTS_class/147/ILSVRC2012_test_00006634.jpg,6,267
"602112,2417901,2545658",-11.30624535868887,"602112,2417901,2545658",1,"1622400,6515854,6859925",./data/images/DUTS_class/817/n04285008_8216.jpg,3,52
"301056,2085957,1783612",-83.22159532865423,"301056,2085957,1783612",1,"720000,4988046,4264803",./data/images/DUTS_class/151/ILSVRC2012_test_00022362.jpg,7,195
"752640,3436680,2799082",19.8389016155177,"752640,3436680,2799082",0,"1404000,6410120,5220957",./data/images/DUTS_class/817/n04285008_1112.jpg,3,52
"451584,3669126,2511008",63.00133604775334,"451584,3669126,2511008",0,"1303200,10586818,7245251",./data/images/DUTS_class/21/ILSVRC2012_test_00050408.jpg,0,107
"451584,2060380,1725785",55.59457416209764,"451584,2060380,1725785",1,"1080000,4926841,4127068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,278
"451584,2385183,3247604",-20.55905124520619,"451584,2385183,3247604",1,"961200,5076092,6911486",./data/images/DUTS_class/147/n02062744_2255.jpg,6,267
"451584,3623376,3579202",34.78722755836357,"451584,3623376,3579202",1,"972000,7797131,7701805",./data/images/DUTS_class/437/sun_afrzbitmwnzbxsxh.jpg,4,261
"451584,2403792,2538304",61.760163851997156,"451584,2403792,2538304",1,"1080000,5747713,6069448",./data/images/DUTS_class/934/n07697537_19371.jpg,1,190
"451584,3345023,1418334",-33.26079340113806,"451584,3345023,1418334",1,"1080000,7998695,3391743",./data/images/DUTS_class/951/ILSVRC2014_train_00038414.jpg,5,35
"903168,4480214,3726348",20.00419810703322,"903168,4480214,3726348",0,"2160000,10714991,8912509",./data/images/DUTS_class/817/ILSVRC2012_val_00049675.jpg,3,52
"451584,4175566,4116000",57.76494515324197,"451584,4175566,4116000",1,"1224000,11316349,11154914",./data/images/DUTS_class/151/ILSVRC2012_test_00082351.jpg,7,195
"602112,4835425,5839997",11.78589181452014,"602112,4835425,5839997",0,"1833600,14726555,17786295",./data/images/DUTS_class/21/ILSVRC2012_test_00021969.jpg,0,107
"602112,2763372,2768458",-27.4208139572751,"602112,2763372,2768458",1,"1286400,5903749,5914628",./data/images/DUTS_class/575/ILSVRC2012_test_00055689.jpg,2,278
"602112,3673421,5032151",52.89702576779848,"602112,3673421,5032151",1,"1440000,8784374,12033771",./data/images/DUTS_class/147/ILSVRC2012_test_00057757.jpg,6,267
"602112,4323445,4225904",35.537936992835384,"602112,4323445,4225904",1,"1440000,10339323,10106247",./data/images/DUTS_class/437/sun_afzibpmwtqaraock.jpg,4,261
"1053696,3758103,3916588",-54.920752062406386,"1053696,3758103,3916588",0,"2242800,7998159,8335002",./data/images/DUTS_class/817/n04285008_2537.jpg,3,52
"602112,2547615,1559953",30.314706187781578,"602112,2547615,1559953",1,"1286400,5441477,3331861",./data/images/DUTS_class/934/n07697537_14246.jpg,1,190
"602112,2638764,1662586",38.58160892984165,"602112,2638764,1662586",0,"1440000,6310721,3976169",./data/images/DUTS_class/951/ILSVRC2012_test_00066396.jpg,5,35
"1204224,4550972,4504998",-46.456437979797954,"1204224,4550972,4504998",1,"2563200,9684246,9586395",./data/images/DUTS_class/817/n04285008_2460.jpg,3,52
"752640,3083262,3216302",-40.72852141925197,"752640,3083262,3216302",0,"1188000,4868489,5078593",./data/images/DUTS_class/21/sun_btqgtvvifrthpsyl.jpg,0,107
"602112,3399642,2923621",86.64208352573952,"602112,3399642,2923621",0,"1281600,7234552,6221754",./data/images/DUTS_class/151/n02085620_3514.jpg,7,195
"752640,3282808,4070831",58.802871654378215,"752640,3282808,4070831",0,"1800000,7849792,9734119",./data/images/DUTS_class/147/n02066245_12249.jpg,6,267
"752640,2369965,2822871",-64.48645386809307,"752640,2369965,2822871",0,"1920000,6043149,7198422",./data/images/DUTS_class/437/sun_armpcnxnhbxckmoh.jpg,4,261
"752640,3104156,2519119",-16.666641124493182,"752640,3104156,2519119",1,"1800000,7423412,6024213",./data/images/DUTS_class/575/ILSVRC2013_test_00000934.jpg,2,278
"752640,3054924,2672984",82.27494109225623,"752640,3054924,2672984",0,"1602000,6499176,5686973",./data/images/DUTS_class/934/n07697537_32497.jpg,1,190
"752640,4313843,1729731",60.152435949395425,"752640,4313843,1729731",1,"1596000,9150040,3669318",./data/images/DUTS_class/951/n07749582_18533.jpg,5,35
"1354752,1197741,1171908",11.025363126393344,"1354752,1197741,1171908",0,"2700000,2386849,2335291",./data/images/DUTS_class/817/n04285008_808.jpg,3,52
"903168,3101294,2955111",-36.403016314424676,"903168,3101294,2955111",0,"2268000,7788908,7421745",./data/images/DUTS_class/21/ILSVRC2012_test_00086654.jpg,0,107
"903168,3132870,3804612",48.47023401682787,"903168,3132870,3804612",1,"1821600,6318855,7673634",./data/images/DUTS_class/147/n02066245_22940.jpg,6,267
"903168,2645226,2798537",37.95789698646996,"903168,2645226,2798537",1,"1922400,5630036,5956467",./data/images/DUTS_class/437/sun_aynnfuntzwpcpxqd.jpg,4,261
"1505280,3048213,2488616",-65.04432848685565,"1505280,3048213,2488616",1,"3372000,6826687,5573659",./data/images/DUTS_class/817/n04285008_8598.jpg,3,52
"752640,4451051,4301027",56.586725855305126,"752640,4451051,4301027",1,"2280000,13483733,13029298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,195
"903168,4632917,4825595",67.35860794991595,"903168,4632917,4825595",0,"2160000,11079739,11540381",./data/images/DUTS_class/575/n03445924_13316.jpg,2,278
"903168,4995825,4218493",-15.89243760251466,"903168,4995825,4218493",1,"2851200,15772556,13318703",./data/images/DUTS_class/934/n07697537_7643.jpg,1,190
"903168,2865260,1331611",52.97776214738619,"903168,2865260,1331611",1,"2577600,8177209,3800253",./data/images/DUTS_class/951/ILSVRC2012_test_00068817.jpg,5,35
"1053696,4411455,5532048",9.531761421031293,"1053696,4411455,5532048",1,"2242800,9387461,11771830",./data/images/DUTS_class/21/ILSVRC2013_test_00004947.jpg,0,107
"1655808,2673833,2636867",86.48682215508316,"1655808,2673833,2636867",0,"2943600,4752817,4687597",./data/images/DUTS_class/900/sun_ahhgazerhhosrhfe.jpg,3,52
"1053696,3571289,3745618",64.8569471382612,"1053696,3571289,3745618",0,"2419200,8198704,8598957",./data/images/DUTS_class/437/sun_aklnynhngbqvasvy.jpg,4,261
"1053696,3593850,3712242",83.56974325582824,"1053696,3593850,3712242",1,"2688000,9165137,9467341",./data/images/DUTS_class/147/ILSVRC2012_test_00030633.jpg,6,267
"903168,2894291,2499881",43.695066538897436,"903168,2894291,2499881",1,"2160000,6920701,5977297",./data/images/DUTS_class/151/ILSVRC2012_test_00069103.jpg,7,195
"1053696,3635648,3430037",-2.275217558184849,"1053696,3635648,3430037",1,"2520000,8695703,8204004",./data/images/DUTS_class/575/ILSVRC2012_test_00038354.jpg,2,278
"1806336,3645570,3539011",-23.980942462508736,"1806336,3645570,3539011",1,"4320000,8717635,8462958",./data/images/DUTS_class/900/sun_ahydvwdptilwkuqa.jpg,3,52
"1053696,3146020,1990656",75.6352378741695,"1053696,3146020,1990656",0,"2520000,7522920,4760576",./data/images/DUTS_class/951/ILSVRC2012_test_00041158.jpg,5,35
"1204224,5305377,3168921",-13.484075414480133,"1204224,5305377,3168921",0,"2563200,11290731,6743753",./data/images/DUTS_class/21/ILSVRC2013_test_00007315.jpg,0,107
"1053696,4610965,3832420",56.06934971206081,"1053696,4610965,3832420",0,"3225600,14113535,11730477",./data/images/DUTS_class/934/n07697537_7732.jpg,1,190
"1204224,4103516,3762549",-33.45304340882499,"1204224,4103516,3762549",0,"2880000,9811995,8996533",./data/images/DUTS_class/437/sun_amwnqpoecflqnumf.jpg,4,261
"1204224,4156111,4081575",25.82365638612241,"1204224,4156111,4081575",0,"2572800,8878650,8719511",./data/images/DUTS_class/147/ILSVRC2012_val_00037913.jpg,6,267
"1053696,3011518,1750093",41.34482799078242,"1053696,3011518,1750093",0,"2318400,6627376,3851655",./data/images/DUTS_class/151/ILSVRC2013_test_00006296.jpg,7,195
"1956864,4725485,4180865",8.347007030062997,"1956864,4725485,4180865",0,"4680000,11301977,9999788",./data/images/DUTS_class/900/sun_amistfvhxjrgxnnm.jpg,3,52
"1204224,3027533,1801252",66.73783747953419,"1204224,3027533,1801252",1,"2880000,7239565,4307449",./data/images/DUTS_class/575/n03445924_9266.jpg,2,278
"1204224,3155253,1335390",-36.6870689115062,"1204224,3155253,1335390",1,"2880000,7545084,3193559",./data/images/DUTS_class/951/ILSVRC2012_test_00043095.jpg,5,35
"1354752,4209727,3515372",-84.9515899987074,"1354752,4209727,3515372",1,"3294000,10235851,8547376",./data/images/DUTS_class/21/ILSVRC2012_test_00043639.jpg,0,107
"1204224,3885707,2577173",22.80687093027636,"1204224,3885707,2577173",0,"2880000,9292170,6163319",./data/images/DUTS_class/934/n07697537_46073.jpg,1,190
"1354752,3993437,3987255",-8.154712120767512,"1354752,3993437,3987255",1,"2883600,8497764,8484539",./data/images/DUTS_class/147/ILSVRC2012_test_00006733.jpg,6,267
"1354752,4005178,3775277",-86.62250150437966,"1354752,4005178,3775277",1,"3240000,9577931,9028057",./data/images/DUTS_class/437/sun_adubffsczbfugcvx.jpg,4,261
"2107392,4763792,4888441",3.2075557994300112,"2107392,4763792,4888441",0,"5040000,11394031,11691770",./data/images/DUTS_class/900/sun_alojlvaknhmjarzm.jpg,3,52
"1204224,3681761,3449436",78.22190200231641,"1204224,3681761,3449436",1,"2630400,8040576,7533030",./data/images/DUTS_class/151/ILSVRC2012_test_00068219.jpg,7,195
"1354752,4405325,4377702",-37.81767441413732,"1354752,4405325,4377702",0,"3240000,10534430,10468534",./data/images/DUTS_class/575/n03445924_16351.jpg,2,278
"1354752,4320908,3543028",89.65911331410898,"1354752,4320908,3543028",0,"2894400,9231213,7569490",./data/images/DUTS_class/951/n07749582_690.jpg,5,35
"1505280,4588363,5920100",-6.322452183789223,"1505280,4588363,5920100",0,"3840000,11704692,15101558",./data/images/DUTS_class/21/ILSVRC2012_test_00045933.jpg,0,107
"1354752,3243389,2772064",-21.89119521201384,"1354752,3243389,2772064",1,"2872800,6879223,5879494",./data/images/DUTS_class/934/n07697537_16855.jpg,1,190
"2257920,3123228,2654378",78.93664338640036,"2257920,3123228,2654378",0,"4050000,5602355,4761399",./data/images/DUTS_class/900/sun_agflihntacrwhoyl.jpg,3,52
"1505280,4443521,4475582",-86.01069577138134,"1505280,4443521,4475582",1,"3600000,10626725,10703481",./data/images/DUTS_class/147/n02066245_2828.jpg,6,267
