img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,2228158,2362686",-39.519571236517855,"150528,2228158,2362686",0,"360000,5327713,5649448",./data/images/DUTS_class/934/n07697537_19371.jpg,1,20
"150528,3597832,3513145",-24.54038697135941,"150528,3597832,3513145",0,"384000,9176533,8960649",./data/images/DUTS_class/21/ILSVRC2012_test_00043552.jpg,0,212
"150528,3666416,3535468",73.3093809569578,"150528,3666416,3535468",0,"360000,8766973,8454090",./data/images/DUTS_class/575/n03445924_5295.jpg,2,127
"150528,1614527,2581858",-82.06631983338727,"150528,1614527,2581858",1,"333600,3577886,5721011",./data/images/DUTS_class/817/n04285008_5012.jpg,3,16
"150528,2645523,2840429",-22.78830877513171,"150528,2645523,2840429",1,"321600,5652280,6068693",./data/images/DUTS_class/147/ILSVRC2012_test_00006634.jpg,6,61
"301056,3552553,3132462",21.04732178544447,"301056,3552553,3132462",0,"720000,8495022,7490502",./data/images/DUTS_class/934/n07697537_14881.jpg,1,20
"150528,3235684,3483162",-39.728296093258685,"150528,3235684,3483162",0,"360000,7737294,8328254",./data/images/DUTS_class/437/sun_adxcbxnjvycdxajj.jpg,4,258
"150528,4081364,3931315",-13.537231954908789,"150528,4081364,3931315",0,"456000,12363733,11909298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,41
"150528,3798527,3010575",-17.539792421086844,"150528,3798527,3010575",0,"369600,9325526,7391093",./data/images/DUTS_class/951/ILSVRC2014_train_00036081.jpg,5,253
"451584,2038426,1586113",-64.37484107090472,"451584,2038426,1586113",0,"1080000,4874542,3792690",./data/images/DUTS_class/934/n07697537_7092.jpg,1,20
"301056,3318569,3933445",-61.72276481917391,"301056,3318569,3933445",0,"640800,7061789,8370197",./data/images/DUTS_class/21/ILSVRC2013_test_00005580.jpg,0,212
"301056,2587756,2592849",-87.63798514740824,"301056,2587756,2592849",1,"643200,5528549,5539428",./data/images/DUTS_class/575/ILSVRC2012_test_00055689.jpg,2,127
"301056,2412870,3843672",-15.087360318714287,"301056,2412870,3843672",1,"640800,5133507,8178216",./data/images/DUTS_class/147/ILSVRC2012_test_00029090.jpg,6,61
"301056,3586140,4204365",-63.80037398869065,"301056,3586140,4204365",1,"679200,8091902,9486217",./data/images/DUTS_class/437/sun_aqpphhufllwhjato.jpg,4,258
"301056,2255057,1586471",-50.267507586294926,"301056,2255057,1586471",1,"720000,5392635,3793894",./data/images/DUTS_class/817/ILSVRC2012_test_00051286.jpg,3,16
"602112,3298274,3103803",35.92177887443522,"602112,3298274,3103803",1,"1281600,7018069,6604323",./data/images/DUTS_class/934/n07697537_18175.jpg,1,20
"301056,3550103,1971007",4.135904880800581,"301056,3550103,1971007",1,"720000,8489097,4713122",./data/images/DUTS_class/151/ILSVRC2012_test_00044209.jpg,7,41
"301056,3601606,3038836",55.61940972933189,"301056,3601606,3038836",0,"643200,7694329,6491874",./data/images/DUTS_class/951/ILSVRC2012_val_00035888.jpg,5,253
"752640,2669168,1224431",48.72322472223228,"752640,2669168,1224431",0,"1800000,6383016,2928485",./data/images/DUTS_class/934/n07697537_14218.jpg,1,20
"451584,4830608,4527527",10.163912282097343,"451584,4830608,4527527",0,"1112400,11898818,11152343",./data/images/DUTS_class/21/ILSVRC2012_test_00099816.jpg,0,212
