img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3267583,3317041",-50.37649875494368,"150528,3267583,3317041",1,"320400,6952384,7057741",./data/images/DUTS_class/817/n04285008_13418.jpg,3,224
"150528,3235684,3483162",-1.7516263203286542,"150528,3235684,3483162",1,"360000,7737294,8328254",./data/images/DUTS_class/437/sun_adxcbxnjvycdxajj.jpg,4,118
"150528,2374585,840927",58.9961758981207,"150528,2374585,840927",0,"429600,6777209,2400253",./data/images/DUTS_class/951/ILSVRC2012_test_00068817.jpg,5,272
"150528,2931488,3719525",-18.996513042996053,"150528,2931488,3719525",0,"360000,7009792,8894119",./data/images/DUTS_class/147/n02066245_12249.jpg,6,75
"150528,1847445,510879",-66.1998806260343,"150528,1847445,510879",0,"361200,4433785,1226391",./data/images/DUTS_class/934/n07697537_28798.jpg,1,171
"150528,4061078,2953814",-35.51223214201478,"150528,4061078,2953814",1,"355200,9580835,6968622",./data/images/DUTS_class/575/ILSVRC2012_test_00042637.jpg,2,174
"150528,3531401,4706451",63.7584060549409,"150528,3531401,4706451",1,"480000,11260336,15007298",./data/images/DUTS_class/21/n01503061_8461.jpg,0,116
"150528,4081364,3931315",-86.59809336496662,"150528,4081364,3931315",0,"456000,12363733,11909298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,121
"301056,2762581,2723348",64.98531561570991,"301056,2762581,2723348",1,"643200,5901777,5817645",./data/images/DUTS_class/437/sun_aqxgaxyueqjwrsjs.jpg,4,118
"301056,2577580,3249324",-42.819032551303216,"301056,2577580,3249324",1,"607200,5198855,6553634",./data/images/DUTS_class/147/n02066245_22940.jpg,6,75
"301056,4800663,5198789",-37.36199756442011,"301056,4800663,5198789",1,"640800,10216884,11064048",./data/images/DUTS_class/21/ILSVRC2013_test_00000987.jpg,0,116
"301056,3138070,2554446",78.31606413872571,"301056,3138070,2554446",0,"720000,7503566,6108098",./data/images/DUTS_class/934/ILSVRC2012_test_00070926.jpg,1,171
"301056,2919568,1238025",42.95758337431845,"301056,2919568,1238025",1,"720000,6981173,2961256",./data/images/DUTS_class/817/n04285008_3863.jpg,3,224
"301056,3957061,1918259",75.38628741037661,"301056,3957061,1918259",1,"720000,9462339,4587168",./data/images/DUTS_class/951/ILSVRC2012_val_00039834.jpg,5,272
"301056,1972563,1637970",-72.88607452668505,"301056,1972563,1637970",1,"720000,4716841,3917068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,174
"301056,3532168,3387105",64.61204212068881,"301056,3532168,3387105",0,"720000,8447057,8100227",./data/images/DUTS_class/151/ILSVRC2012_test_00057159.jpg,7,121
"451584,4194162,4083708",85.93597089461359,"451584,4194162,4083708",0,"957600,8896901,8662627",./data/images/DUTS_class/437/sun_agixkwgtzwjasnie.jpg,4,118
"451584,2968915,3190775",59.74933719223933,"451584,2968915,3190775",0,"961200,6317318,6789540",./data/images/DUTS_class/147/ILSVRC2012_test_00053990.jpg,6,75
"451584,4060307,5180852",-31.993858480706464,"451584,4060307,5180852",1,"961200,8639861,11024230",./data/images/DUTS_class/21/ILSVRC2013_test_00004947.jpg,0,116
"451584,2716541,2245210",30.544691672947092,"451584,2716541,2245210",0,"957600,5762023,4762294",./data/images/DUTS_class/934/n07697537_16855.jpg,1,171
"451584,3242732,3010404",33.367589303791675,"451584,3242732,3010404",0,"986400,7081576,6574030",./data/images/DUTS_class/151/ILSVRC2012_test_00068219.jpg,7,121
"451584,1720149,1675770",14.354674980407054,"451584,1720149,1675770",1,"1022400,3893907,3793091",./data/images/DUTS_class/817/n04285008_7904.jpg,3,224
