img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,1884833,1550240",62.85949122418165,"150528,1884833,1550240",0,"360000,4506841,3707068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,49
"150528,2325905,1985347",29.93518893704828,"150528,2325905,1985347",1,"360000,5561359,4746693",./data/images/DUTS_class/437/sun_ablfqiwfqomjarht.jpg,4,284
"150528,2320507,2702426",38.74372155642328,"150528,2320507,2702426",1,"303600,4679810,5450221",./data/images/DUTS_class/817/n04285008_1730.jpg,3,6
"150528,1315143,1569079",51.27938315923072,"150528,1315143,1569079",1,"321600,2809303,3351843",./data/images/DUTS_class/934/n07697537_22051.jpg,1,90
"150528,5120407,4049761",-78.38612620288656,"150528,5120407,4049761",0,"466800,15879540,12559143",./data/images/DUTS_class/21/ILSVRC2012_test_00008011.jpg,0,221
"150528,1759713,1005272",53.55718773401185,"150528,1759713,1005272",1,"321600,3759040,2147297",./data/images/DUTS_class/951/ILSVRC2012_val_00030225.jpg,5,20
"301056,4148811,3041552",82.86197818818107,"301056,4148811,3041552",0,"710400,9788035,7175822",./data/images/DUTS_class/575/ILSVRC2012_test_00042637.jpg,2,49
"301056,2435562,2337983",24.458790541455173,"301056,2435562,2337983",0,"720000,5823225,5590504",./data/images/DUTS_class/817/n04285008_749.jpg,3,6
"301056,2634196,2534873",66.78904879280276,"301056,2634196,2534873",1,"640800,5603993,5392901",./data/images/DUTS_class/934/n07697537_21059.jpg,1,90
"301056,2872074,2542050",64.97697670923985,"301056,2872074,2542050",1,"777600,7419630,6566791",./data/images/DUTS_class/21/ILSVRC2012_test_00006511.jpg,0,221
"451584,3369814,2401756",-8.953742962506041,"451584,3369814,2401756",0,"961200,7171022,5110621",./data/images/DUTS_class/575/ILSVRC2014_train_00030434.jpg,2,49
"451584,2526478,2510006",87.45975718467382,"451584,2526478,2510006",0,"1080000,6040909,6001611",./data/images/DUTS_class/817/n04285008_5418.jpg,3,6
"451584,3318188,2622394",-30.931135043716914,"451584,3318188,2622394",0,"964800,7088439,5602395",./data/images/DUTS_class/934/n07697537_15116.jpg,1,90
"451584,4522521,5027654",23.660204811901412,"451584,4522521,5027654",1,"1080000,10814287,12022173",./data/images/DUTS_class/21/ILSVRC2012_test_00045766.jpg,0,221
